id,text
1046704890435850200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046704901924024300,RT @internsg: Yoogane - Service Crew #singapore #internship https://t.co/8ijgETVB3V
1046704902024630300,RT @internsg: Su-Ette Pte Ltd - Marketing and Business Development Intern #singapore #internship https://t.co/AiKMBeiFPK
1046704913684750300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046704946811416600,Future of this project is very good
1046704968324059100,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705093964312600,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705109982359600,#FLB
1046705224268877800,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705297501376500,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705310172418000,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705361128951800,ok
1046705399519490000,hi
1046705412014108700,FLB COIN @CoinFLB
1046705438153158700,hi
1046705478665814000,nice  day
1046705494038114300,yes
1046705528263651300,ok
1046705537575002100,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705584643301400,"In life, it’s not where you go,
It’s who you travel with 😍
I’m lucky in having found the perfect one ❤️
#F1 🏎 #Singapore #🏁#SingaporeGP #Formula1 #F12018 @ Singapore Grand Prix https://t.co/4EzD1yEqVE"
1046705687596691500,RT @Coincast_Media: .@wholesaleinvest Investor's recent 'Emergence Asia' roadshow brought together venture capitalists and blockchain compa…
1046705705821048800,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705777707110400,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705938172764200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046705957953105900,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046706001288646700,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046706102987944000,FLB COIN @CoinFLB
1046706138715021300,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046706175373279200,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046706184416157700,"Strong team with a great idea, an innovative project on a platform that seeks to make a better example, one of the best opportunities of the year. Participate in the contest."
1046706264250564600,"RT @CoinFLB: CVDs kill 1 Australia every 12 minutes !!! Join Farasha against CVDs !
#FLB #FLBCOIN #AI #Cryptocurrency #Revolution #CVD #Sma…"
1046706275747151900,@CoinFLB
1046706301122859000,this time to experience an intense  ::  https://t.co/a4GOZBrGzj     #Yunnan #China #InstaChina #Travel #TravelBlogger #Singapore #Philippines
1046706323138568200,No more waiting in line for food. #singapore https://t.co/AeiXIq9kcI
